"schema_version","card_id","source_title","source_refs","category","subtopic","card_type","concept","front","answer","condition","result","symbolic_rule","example_input","example_output","tags"
"1.0","SS2-077","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","consonant_terminal","rule","na-lopa","Na-lopa (naḥ prātipadikāntasya, Pāṇini 8.2.7): terminal n of a prātipadika / pada.","→ elided","n at the end of a prātipadika (word-base) or pada","n is deleted","…n # → …#","rājan (pada-anta) e.g. rājan + [nom.sg zero → rājā]","rājā","stage3|sandhi|terminal|na-lopa"
"1.0","SS2-078","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","consonant_terminal","rule","ku-tvam","Ku-tvam (cortolku, Pāṇini 8.2.30): a palatal consonant at word end or before specified suffixes.","→ replaced by the corresponding guttural (kavarga letter)","palatal (c-varga) at word end or before certain suffixes","→ corresponding kavarga letter","palatal → kavarga","vāc + [suffix beginning consonant] (as in vāk); pratyañc + t → pratyaṅ + …","vāk ; pratyaṅ","stage3|sandhi|terminal|ku-tvam"
"1.0","SS2-079","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","consonant_terminal","rule","jaś-tvam","Jaś-tvam (jhalāṃ jaśo'nte, Pāṇini 8.2.39): a hard (aghoṣa) non-nasal stop at pada-end.","→ its corresponding third letter (unaspirated soft)","1st or 2nd letter of any varga at pada-end","→ its 3rd (voiced unaspirated) letter of the same varga","aghoṣa C # → tṛtīya C","vāk + īśaḥ","vāg īśaḥ","stage3|sandhi|terminal|jaś-tvam"
"1.0","SS2-080","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","consonant","rule","anusvāra","Anusvāra sandhi (mo'nusvāraḥ, 8.3.23): pada-final m + any consonant.","→ anusvāra (ṃ)","m at pada-end + any vyañjana","m becomes anusvāra","m # + C → ṃ + C","kṛṣṇam + vande","kṛṣṇaṃ vande","stage3|sandhi|consonant|anusvāra"
"1.0","SS2-081","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","consonant","rule","parasavarṇa","Parasavarṇa (anusvārasya yayi parasavarṇaḥ, 8.4.58): anusvāra + a varga consonant.","→ replaced by the fifth (nasal) letter of the following consonant's varga","anusvāra + varga C","→ pañcama of the para varga (ṅ/ñ/ṇ/n/m)","ṃ + varga C → pañcama of that varga + C","alaṃ + cakāra","alañcakāra","stage3|sandhi|consonant|parasavarṇa"
"1.0","SS2-082","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","consonant","rule","śchutva","Śchutva (stoḥ ścunā ścuḥ, 8.4.40): s or ta-varga meets ś or ca-varga.","s → ś; t-varga → the corresponding c-varga letter","s or ta-varga (t/th/d/dh/n) meeting ś or ca-varga (c/ch/j/jh/ñ)","s → ś; ta-varga → ca-varga counterpart","s/ta-varga ↔ ś/ca-varga → ś/ca-varga","sat + cit","saccit","stage3|sandhi|consonant|śchutva"
"1.0","SS2-083","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","consonant","rule","ṣṭutva","Ṣṭutva (ṣṭunā ṣṭuḥ, 8.4.41): s or ta-varga meets ṣ or ṭa-varga.","s → ṣ; ta-varga → the corresponding ṭa-varga letter","s or ta-varga meeting ṣ or ṭa-varga","s → ṣ; ta-varga → ṭa-varga counterpart","s/ta-varga ↔ ṣ/ṭa-varga → ṣ/ṭa-varga","iṣ + taḥ","iṣṭaḥ","stage3|sandhi|consonant|ṣṭutva"
"1.0","SS2-084","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","consonant","rule","chartva","Chartva (khari ca, 8.4.55): a non-nasal stop at pada-end before a voiceless (khar) consonant.","→ replaced by the 1st letter of its own varga","3rd/4th letter of varga at pada-end + khar","→ 1st letter of its own varga","ghoṣa C # + aghoṣa C → aghoṣa (1st) + aghoṣa C","vāg + ca","vāk ca","stage3|sandhi|consonant|chartva"
"1.0","SS2-085","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","synthesis","synthesis","namaste-namoṃstu","Trace 'namaḥ + te' → 'namaste'. Which sandhi fires, and why?","Sakārādeśa (visarga sandhi, dental case): visarga before a dental (t) becomes s. So aḥ + te → as + te → namaste. Sakārādeśa does not need to further transform because the following consonant is already dental s-class.","","","","","","stage3|sandhi|synthesis|namaste"
"1.0","SS2-086","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","synthesis","synthesis","maheshvara","Trace 'mahā + īśvara' → 'maheśvara'. Which sandhi fires, and why does it beat savarṇadīrgha?","Guṇa sandhi (ādguṇaḥ, 6.1.87): a/ā + i/ī → e. Because the vowels are dissimilar (a-class + i-class), savarṇadīrgha does not apply — guṇa is the specific rule for this environment.","","","","","","stage3|sandhi|synthesis|maheshvara"
